From,To,Distance
CAN,RUS,7215
CAN,EST,6331
CAN,LAT,6494
CAN,LIT,6697
CAN,UKR,7245
CAN,BLR,6877
CAN,ARM,8805
CAN,GRG,8818
CAN,AZE,9074
CAN,FIN,6278
CAN,SWD,6009
CAN,NOR,5634
CAN,DEN,5936
CAN,ICE,3876
CAN,CAP,5783
CAN,STP,9350
CAN,GNB,6802
CAN,EQG,9505
CAN,GAM,6569
CAN,MLI,7312
CAN,SEN,6426
CAN,BEN,8613
CAN,MAA,6235
CAN,NIR,8028
CAN,CDI,7990
CAN,GUI,7116
CAN,BFO,7820
CAN,LBR,7574
CAN,SIE,7222
CAN,GHA,8498
CAN,TOG,8499
CAN,CAO,9536
CAN,NIG,8665
CAN,GAB,9621
CAN,CEN,10020
CAN,CHA,9106
CAN,CON,10398
CAN,DRC,10398
CAN,UGA,11405
CAN,KEN,11820
CAN,TAZ,12420
CAN,ZAN,12416
CAN,BUI,11409
CAN,RWA,11319
CAN,SOM,12188
CAN,DJI,11210
CAN,ETH,11120
CAN,ERI,10600
CAN,ANG,10548
CAN,MZM,13406
CAN,ZAM,12286
CAN,ZIM,12633
CAN,MAW,12537
CAN,SAF,13011
CAN,TRA,13011
CAN,OFS,13134
CAN,NAM,11933
CAN,LES,13200
CAN,BOT,12759
CAN,SWA,13299
CAN,MAG,14003
CAN,COM,13124
CAN,MAS,14910
CAN,SEY,13480
CAN,MOR,5896
CAN,ALG,6441
CAN,TUN,6956
CAN,LIB,7470
CAN,SUD,10185
CAN,IRN,9611
CAN,TUR,8225
CAN,IRQ,9410
CAN,EGY,8864
CAN,SYR,8932
CAN,LEB,8878
CAN,JOR,9074
CAN,ISR,8926
CAN,SAU,10352
CAN,YAR,10981
CAN,YEM,10981
CAN,YPR,11295
CAN,KUW,9976
CAN,BAH,10435
CAN,QAT,10479
CAN,UAE,10796
CAN,OMA,11105
CAN,AFG,10496
CAN,TKM,9750
CAN,TAJ,10080
CAN,KYR,9853
CAN,UZB,9794
CAN,KZK,9822
CAN,CHN,10544
CAN,TBT,11564
CAN,MON,9728
CAN,TAW,11992
CAN,KOR,10568
CAN,PRK,10388
CAN,ROK,10568
CAN,JPN,10382
CAN,IND,11401
CAN,BHU,11823
CAN,PAK,10733
CAN,BNG,12272
CAN,MYA,13128
CAN,SRI,13789
CAN,NEP,11729
CAN,MAD,13779
CAN,THI,13500
CAN,CAM,13735
CAN,LAO,13063
CAN,VNM,13764
CAN,DRV,12630
CAN,RVN,13764
CAN,MAL,14623
CAN,SIN,14850
CAN,BRU,14371
CAN,PHI,13192
CAN,INS,15629
CAN,ETM,15436
CAN,AUL,16084
CAN,PNG,14256
CAN,NEW,14456
CAN,VAN,13382
CAN,SOL,13347
CAN,FJI,12638
CAN,MSI,11262
CAN,PAL,13407
CAN,FSM,12111
CAN,WSM,12782
BHM,USA,1623
BHM,CAN,2343
BHM,CUB,655
BHM,HAI,727
BHM,DOM,891
BHM,JAM,700
BHM,TRI,2163
BHM,BAR,2123
BHM,DMA,1948
BHM,GRN,2024
BHM,SLU,1938
BHM,SVG,1977
BHM,AAB,1678
BHM,SKN,1575
BHM,BLZ,1470
BHM,MEX,2443
BHM,GUA,1853
BHM,HON,1632
BHM,SAL,1801
BHM,NIC,1728
BHM,COS,1804
BHM,PAN,1735
BHM,COL,2185
BHM,VEN,1843
BHM,GUY,2704
BHM,SUR,3020
BHM,ECU,2705
BHM,PER,4032
BHM,BRA,5344
BHM,BOL,4562
BHM,PAR,5829
BHM,CHL,6392
BHM,ARG,6735
BHM,URU,6812
BHM,UK,6983
BHM,IRE,6529
BHM,NTH,7289
BHM,BEL,7289
BHM,LUX,7424
BHM,FRN,7180
BHM,MNC,7659
BHM,LIE,7728
BHM,SWZ,7593
BHM,SPN,6842
BHM,AND,7221
BHM,POR,6402
BHM,GMY,7868
BHM,GFR,7488
BHM,GDR,7868
BHM,POL,8367
BHM,AUH,8191
BHM,AUS,8191
BHM,HUN,8427
BHM,CZE,7997
BHM,CZR,7997
BHM,SLO,8250
BHM,ITA,8155
BHM,SNM,8046
BHM,MLT,8505
BHM,ALB,8719
BHM,SER,8644
BHM,MNG,8619
BHM,MAC,8808
BHM,CRO,8271
BHM,YUG,8644
BHM,BOS,8535
BHM,SLV,8128
BHM,GRC,9157
BHM,CYP,10075
BHM,BUL,8943
BHM,MLD,9099
BHM,RUM,9060
BHM,RUS,9189
BHM,EST,8291
BHM,LAT,8385
BHM,LIT,8551
BHM,UKR,9052
BHM,BLR,8726
BHM,ARM,10577
BHM,GRG,10596
BHM,AZE,10923
BHM,FIN,8260
BHM,SWD,7931
BHM,NOR,7522
BHM,DEN,7722
BHM,ICE,5887
BHM,CAP,5473
BHM,STP,9246
BHM,GNB,6506
BHM,EQG,9505
BHM,GAM,6326
BHM,MLI,7242
BHM,SEN,6202
BHM,BEN,8579
BHM,MAA,6212
BHM,NIR,8228
BHM,CDI,7768
BHM,GUI,6794
BHM,BFO,7901
BHM,LBR,7214
BHM,SIE,6871
BHM,GHA,8371
BHM,TOG,8429
BHM,CAO,9607
BHM,NIG,8647
BHM,GAB,9544
BHM,CEN,10289
BHM,CHA,9556
BHM,CON,10320
BHM,DRC,10320
BHM,UGA,11868
BHM,KEN,12354
BHM,TAZ,12842
BHM,ZAN,12832
BHM,BUI,11692
BHM,RWA,11687
BHM,SOM,13040
BHM,DJI,12287
BHM,ETH,12019
BHM,ERI,11688
BHM,ANG,10285
BHM,MZM,12905
BHM,ZAM,12126
BHM,ZIM,12452
BHM,MAW,12566
BHM,SAF,12473
BHM,TRA,12473
BHM,OFS,12402
BHM,NAM,11288
BHM,LES,12489
BHM,BOT,12213
BHM,SWA,12776
BHM,MAG,14162
BHM,COM,13462
BHM,MAS,15232
BHM,SEY,14398
BHM,MOR,6697
BHM,ALG,7502
BHM,TUN,8120
BHM,LIB,8554
BHM,SUD,11122
BHM,IRN,11401
BHM,TUR,9806
BHM,IRQ,11039
BHM,EGY,10192
BHM,SYR,10424
BHM,LEB,10357
BHM,JOR,10513
BHM,ISR,10367
BHM,SAU,11835
BHM,YAR,12183
BHM,YEM,12183
BHM,YPR,12436
BHM,KUW,11589
BHM,BAH,12052
BHM,QAT,12084
BHM,UAE,12439
BHM,OMA,12813
BHM,AFG,12551
BHM,TKM,11679
BHM,TAJ,12168
BHM,KYR,12039
BHM,UZB,11915
BHM,KZK,12038
BHM,CHN,12847
BHM,TBT,13857
BHM,MON,12068
BHM,TAW,14209
BHM,KOR,12776
BHM,PRK,12616
BHM,ROK,12776
BHM,JPN,12408
BHM,IND,13526
BHM,BHU,14098
BHM,PAK,12834
BHM,BNG,14545
BHM,MYA,15441
BHM,SRI,15733
BHM,NEP,13957
BHM,MAD,15469
BHM,THI,15836
BHM,CAM,16077
BHM,LAO,15405
BHM,VNM,16100
BHM,DRV,14970
BHM,RVN,16101
BHM,MAL,16962
BHM,SIN,17193
BHM,BRU,16606
BHM,PHI,15362
BHM,INS,17956
BHM,ETM,17123
BHM,AUL,15519
BHM,PNG,15115
BHM,NEW,13302
BHM,VAN,13417
BHM,SOL,13902
BHM,FJI,12337
BHM,MSI,12146
BHM,PAL,15168
BHM,FSM,13184
BHM,WSM,12787
CUB,USA,1813
CUB,CAN,2536
CUB,BHM,655
CUB,HAI,1152
CUB,DOM,1381
CUB,JAM,810
CUB,TRI,2624
CUB,BAR,2646
CUB,DMA,2458
CUB,GRN,2505
CUB,SLU,2456
CUB,SVG,2484
CUB,AAB,2245
CUB,SKN,2140
CUB,BLZ,876
CUB,MEX,1788
CUB,GUA,1276
CUB,HON,1130
CUB,SAL,1262
CUB,NIC,1293
CUB,COS,1476
CUB,PAN,1603
CUB,COL,2235
CUB,VEN,2185
CUB,GUY,3154
CUB,SUR,3486
CUB,ECU,2604
CUB,PER,3953
CUB,BRA,5680
CUB,BOL,4628
CUB,PAR,5989
CUB,CHL,6368
CUB,ARG,6837
CUB,URU,6937
CUB,UK,7510
CUB,IRE,7043
CUB,NTH,7805
CUB,BEL,7819
CUB,LUX,7955
CUB,FRN,7726
CUB,MNC,8227
CUB,LIE,8273
CUB,SWZ,8147
CUB,SPN,7440
CUB,AND,7802
CUB,POR,7014
CUB,GMY,8374
CUB,GFR,8016
CUB,GDR,8374
CUB,POL,8861
CUB,AUH,8721
CUB,AUS,8721
CUB,HUN,8958
CUB,CZE,8516
CUB,CZR,8516
CUB,SLO,8778
CUB,ITA,8731
CUB,SNM,8608
CUB,MLT,9103
CUB,ALB,9284
CUB,SER,9190
CUB,MNG,9178
CUB,MAC,9364
CUB,CRO,8820
CUB,YUG,9190
CUB,BOS,9091
CUB,SLV,8674
CUB,GRC,9730
CUB,CYP,10641
CUB,BUL,9496
CUB,MLD,9611
CUB,RUM,9595
CUB,RUS,9622
CUB,EST,8725
CUB,LAT,8843
CUB,LIT,9021
CUB,UKR,9539
CUB,BLR,9199
CUB,ARM,11083
CUB,GRG,11101
CUB,AZE,11409
CUB,FIN,8686
CUB,SWD,8376
CUB,NOR,7975
CUB,DEN,8207
CUB,ICE,6286
CUB,CAP,6121
CUB,STP,9889
CUB,GNB,7150
CUB,EQG,10152
CUB,GAM,6973
CUB,MLI,7894
CUB,SEN,6851
CUB,BEN,9228
CUB,MAA,6867
CUB,NIR,8883
CUB,CDI,8410
CUB,GUI,7435
CUB,BFO,8555
CUB,LBR,7850
CUB,SIE,7510
CUB,GHA,9016
CUB,TOG,9076
CUB,CAO,10257
CUB,NIG,9296
CUB,GAB,10187
CUB,CEN,10943
CUB,CHA,10211
CUB,CON,10960
CUB,DRC,10960
CUB,UGA,12524
CUB,KEN,13009
CUB,TAZ,13495
CUB,ZAN,13485
CUB,BUI,12345
CUB,RWA,12341
CUB,SOM,13691
CUB,DJI,12920
CUB,ETH,12664
CUB,ERI,12318
CUB,ANG,10912
CUB,MZM,13481
CUB,ZAM,12750
CUB,ZIM,13071
CUB,MAW,13201
CUB,SAF,13049
CUB,TRA,13049
CUB,OFS,12950
CUB,NAM,11862
CUB,LES,13039
CUB,BOT,12792
CUB,SWA,13350
CUB,MAG,14796
CUB,COM,14111
CUB,MAS,15868
CUB,SEY,15050
CUB,MOR,7328
CUB,ALG,8114
CUB,TUN,8723
CUB,LIB,9170
CUB,SUD,11762
CUB,IRN,11907
CUB,TUR,10353
CUB,IRQ,11584
CUB,EGY,10786
CUB,SYR,10993
CUB,LEB,10927
CUB,JOR,11092
CUB,ISR,10944
CUB,SAU,12414
CUB,YAR,12804
CUB,YEM,12804
CUB,YPR,13065
CUB,KUW,12141
CUB,BAH,12606
CUB,QAT,12640
CUB,UAE,12989
CUB,OMA,13350
CUB,AFG,12966
CUB,TKM,12142
CUB,TAJ,12564
CUB,KYR,12376
CUB,UZB,12293
CUB,KZK,12353
CUB,CHN,12816
CUB,TBT,14092
CUB,MON,12138
CUB,TAW,14058
CUB,KOR,12638
