From,To,Distance
CHL,ARM,14289
CHL,GRG,14318
CHL,AZE,14733
CHL,FIN,13428
CHL,SWD,13027
CHL,NOR,12643
CHL,DEN,12552
CHL,ICE,11606
CHL,CAP,7363
CHL,STP,8917
CHL,GNB,7609
CHL,EQG,9256
CHL,GAM,7678
CHL,MLI,8311
CHL,SEN,7691
CHL,BEN,8839
CHL,MAA,8113
CHL,NIR,9249
CHL,CDI,8128
CHL,GUI,7622
CHL,BFO,8863
CHL,LBR,7646
CHL,SIE,7577
CHL,GHA,8549
CHL,TOG,8701
CHL,CAO,9461
CHL,NIG,8899
CHL,GAB,9089
CHL,CEN,10184
CHL,CHA,10330
CHL,CON,9385
CHL,DRC,9385
CHL,UGA,11226
CHL,KEN,11559
CHL,TAZ,11461
CHL,ZAN,11444
CHL,BUI,10745
CHL,RWA,10941
CHL,SOM,12527
CHL,DJI,12891
CHL,ETH,12342
CHL,ERI,12727
CHL,ANG,8941
CHL,MZM,9566
CHL,ZAM,9924
CHL,ZIM,10013
CHL,MAW,10502
CHL,SAF,9285
CHL,TRA,9285
CHL,OFS,8863
CHL,NAM,8499
CHL,LES,8948
CHL,BOT,9149
CHL,SWA,9460
CHL,MAG,11341
CHL,COM,11478
CHL,MAS,11952
CHL,SEY,12983
CHL,MOR,9926
CHL,ALG,10836
CHL,TUN,11371
CHL,LIB,11401
CHL,SUD,12131
CHL,IRN,14750
CHL,TUR,13304
CHL,IRQ,14052
CHL,EGY,12786
CHL,SYR,13356
CHL,LEB,13285
CHL,JOR,13244
CHL,ISR,13181
CHL,SAU,13907
CHL,YAR,13199
CHL,YEM,13199
CHL,YPR,13111
CHL,KUW,14227
CHL,BAH,14410
CHL,QAT,14380
CHL,UAE,14616
CHL,OMA,14943
CHL,AFG,16305
CHL,TKM,15398
CHL,TAJ,16328
CHL,KYR,16813
CHL,UZB,16379
CHL,KZK,16999
CHL,CHN,19083
CHL,TBT,18235
CHL,MON,18429
CHL,TAW,18509
CHL,KOR,18337
CHL,PRK,18382
CHL,ROK,18337
CHL,JPN,17197
CHL,IND,16903
CHL,BHU,18001
CHL,PAK,16637
CHL,BNG,17854
CHL,MYA,17700
CHL,SRI,15732
CHL,NEP,17607
CHL,MAD,14984
CHL,THI,17610
CHL,CAM,17517
CHL,LAO,18109
CHL,VNM,17512
CHL,DRV,18620
CHL,RVN,17510
CHL,MAL,16571
CHL,SIN,16399
CHL,BRU,16782
CHL,PHI,17586
CHL,INS,15651
CHL,ETM,15070
CHL,AUL,11374
CHL,PNG,13836
CHL,NEW,9390
CHL,VAN,11812
CHL,SOL,13054
CHL,FJI,10734
CHL,MSI,13452
CHL,PAL,16160
CHL,FSM,14198
CHL,WSM,11556
ARG,USA,8318
ARG,CAN,8987
ARG,BHM,6735
ARG,CUB,6837
ARG,HAI,6037
ARG,DOM,5963
ARG,JAM,6099
ARG,TRI,4976
ARG,BAR,5246
ARG,DMA,5291
ARG,GRN,5139
ARG,SLU,5332
ARG,SVG,5262
ARG,AAB,5687
ARG,SKN,5726
ARG,BLZ,6532
ARG,MEX,7341
ARG,GUA,6383
ARG,HON,6163
ARG,SAL,6230
ARG,NIC,5917
ARG,COS,5593
ARG,PAN,5270
ARG,COL,4604
ARG,VEN,4980
ARG,GUY,4569
ARG,SUR,4444
ARG,ECU,4321
ARG,PER,3081
ARG,BRA,2370
ARG,BOL,2213
ARG,PAR,1003
ARG,CHL,1131
ARG,URU,215
ARG,UK,11052
ARG,IRE,10905
ARG,NTH,11364
ARG,BEL,11195
ARG,LUX,11271
ARG,FRN,10938
ARG,MNC,10911
ARG,LIE,11281
ARG,SWZ,11076
ARG,SPN,9968
ARG,AND,10464
ARG,POR,9491
ARG,GMY,11834
ARG,GFR,11348
ARG,GDR,11834
ARG,POL,12276
ARG,AUH,11749
ARG,AUS,11749
ARG,HUN,11868
ARG,CZE,11763
ARG,CZR,11763
ARG,SLO,11800
ARG,ITA,11064
ARG,SNM,11228
ARG,MLT,10845
ARG,ALB,11554
ARG,SER,11780
ARG,MNG,11597
ARG,MAC,11726
ARG,CRO,11544
ARG,YUG,11780
ARG,BOS,11585
ARG,SLV,11507
ARG,GRC,11647
ARG,CYP,12229
ARG,BUL,11859
ARG,MLD,12504
ARG,RUM,12167
ARG,RUS,13408
ARG,EST,12826
ARG,LAT,12660
ARG,LIT,12638
ARG,UKR,12759
ARG,BLR,12720
ARG,ARM,13354
ARG,GRG,13383
ARG,AZE,13783
ARG,FIN,12879
ARG,SWD,12486
ARG,NOR,12135
ARG,DEN,11970
ARG,ICE,11365
ARG,CAP,6651
ARG,STP,7834
ARG,GNB,6750
ARG,EQG,8168
ARG,GAM,6849
ARG,MLI,7392
ARG,SEN,6881
ARG,BEN,7803
ARG,MAA,7326
ARG,NIR,8266
ARG,CDI,7138
ARG,GUI,6724
ARG,BFO,7895
ARG,LBR,6696
ARG,SIE,6666
ARG,GHA,7519
ARG,TOG,7673
ARG,CAO,8373
ARG,NIG,7860
ARG,GAB,7994
ARG,CEN,9080
ARG,CHA,9276
ARG,CON,8264
ARG,DRC,8264
ARG,UGA,10095
ARG,KEN,10428
ARG,TAZ,10339
ARG,ZAN,10321
ARG,BUI,9613
ARG,RWA,9810
ARG,SOM,11399
ARG,DJI,11765
ARG,ETH,11216
ARG,ERI,11618
ARG,ANG,7814
ARG,MZM,8503
ARG,ZAM,8805
ARG,ZIM,8905
ARG,MAW,9387
ARG,SAF,8204
ARG,TRA,8204
ARG,OFS,7798
ARG,NAM,7381
ARG,LES,7885
ARG,BOT,8057
ARG,SWA,8393
ARG,MAG,10292
ARG,COM,10379
ARG,MAS,10970
ARG,SEY,11898
ARG,MOR,9204
ARG,ALG,10065
ARG,TUN,10551
ARG,LIB,10518
ARG,SUD,11035
ARG,IRN,13737
ARG,TUR,12400
ARG,IRQ,13040
ARG,EGY,11793
ARG,SYR,12372
ARG,LEB,12305
ARG,JOR,12242
ARG,ISR,12193
ARG,SAU,12819
ARG,YAR,12080
ARG,YEM,12080
ARG,YPR,11984
ARG,KUW,13169
ARG,BAH,13322
ARG,QAT,13289
ARG,UAE,13510
ARG,OMA,13826
ARG,AFG,15240
ARG,TKM,14390
ARG,TAJ,15312
ARG,KYR,15862
ARG,UZB,15409
ARG,KZK,16070
ARG,CHN,19275
ARG,TBT,17104
ARG,MON,18110
ARG,TAW,18999
ARG,KOR,19402
ARG,PRK,19329
ARG,ROK,19402
ARG,JPN,18323
ARG,IND,15778
ARG,BHU,16872
ARG,PAK,15554
ARG,BNG,16757
ARG,MYA,16782
ARG,SRI,14719
ARG,NEP,16476
ARG,MAD,13940
ARG,THI,16855
ARG,CAM,16940
ARG,LAO,17346
ARG,VNM,17011
ARG,DRV,17891
ARG,RVN,17005
ARG,MAL,15990
ARG,SIN,15901
ARG,BRU,16646
ARG,PHI,17783
ARG,INS,15291
ARG,ETM,15251
ARG,AUL,11806
ARG,PNG,14495
ARG,NEW,10039
ARG,VAN,12650
ARG,SOL,13887
ARG,FJI,11650
ARG,MSI,14515
ARG,PAL,16767
ARG,FSM,15180
ARG,WSM,12465
URU,USA,8382
URU,CAN,9041
URU,BHM,6812
URU,CUB,6937
URU,HAI,6107
URU,DOM,6024
URU,JAM,6187
URU,TRI,5003
URU,BAR,5263
URU,DMA,5316
URU,GRN,5167
URU,SLU,5356
URU,SVG,5287
URU,AAB,5713
URU,SKN,5756
URU,BLZ,6658
URU,MEX,7492
URU,GUA,6521
URU,HON,6294
URU,SAL,6366
URU,NIC,6047
URU,COS,5720
URU,PAN,5382
URU,COL,4702
URU,VEN,5036
URU,GUY,4579
URU,SUR,4437
URU,ECU,4448
URU,PER,3234
URU,BRA,2277
URU,BOL,2327
URU,PAR,1012
URU,CHL,1346
URU,ARG,215
URU,UK,10942
URU,IRE,10809
URU,NTH,11249
URU,BEL,11077
URU,LUX,11149
URU,FRN,10818
URU,MNC,10774
URU,LIE,11149
URU,SWZ,10944
URU,SPN,9840
URU,AND,10333
URU,POR,9369
URU,GMY,11708
URU,GFR,11226
URU,GDR,11708
URU,POL,12143
URU,AUH,11610
URU,AUS,11610
URU,HUN,11724
URU,CZE,11631
URU,CZR,11631
URU,SLO,11661
URU,ITA,10914
URU,SNM,11084
URU,MLT,10682
URU,ALB,11396
URU,SER,11628
URU,MNG,11442
URU,MAC,11567
URU,CRO,11399
URU,YUG,11628
URU,BOS,11432
URU,SLV,11366
URU,GRC,11478
URU,CYP,12046
URU,BUL,11698
URU,MLD,12350
URU,RUM,12009
URU,RUS,13271
URU,EST,12710
URU,LAT,12535
URU,LIT,12506
URU,UKR,12612
URU,BLR,12584
URU,ARM,13173
URU,GRG,13201
URU,AZE,13598
URU,FIN,12766
URU,SWD,12375
URU,NOR,12032
URU,DEN,11854
URU,ICE,11314
URU,CAP,6523
URU,STP,7629
URU,GNB,6591
URU,EQG,7962
URU,GAM,6697
URU,MLI,7220
URU,SEN,6733
URU,BEN,7607
URU,MAA,7181
URU,NIR,8081
URU,CDI,6952
URU,GUI,6558
URU,BFO,7714
URU,LBR,6519
URU,SIE,6498
URU,GHA,7325
URU,TOG,7479
URU,CAO,8167
URU,NIG,7664
URU,GAB,7786
URU,CEN,8870
URU,CHA,9076
URU,CON,8051
URU,DRC,8051
URU,UGA,9881
URU,KEN,10213
URU,TAZ,10126
URU,ZAN,10108
URU,BUI,9398
URU,RWA,9595
URU,SOM,11184
URU,DJI,11551
URU,ETH,11002
URU,ERI,11407
URU,ANG,7600
URU,MZM,8302
URU,ZAM,8593
URU,ZIM,8695
URU,MAW,9175
URU,SAF,7999
URU,TRA,7999
URU,OFS,7596
URU,NAM,7169
URU,LES,7684
URU,BOT,7850
URU,SWA,8191
URU,MAG,10092
URU,COM,10171
URU,MAS,10783
URU,SEY,11691
URU,MOR,9068
URU,ALG,9918
URU,TUN,10393
URU,LIB,10349
URU,SUD,10826
URU,IRN,13541
URU,TUR,12225
URU,IRQ,12845
URU,EGY,11603
URU,SYR,12182
URU,LEB,12116
URU,JOR,12050
URU,ISR,12003
URU,SAU,12611
URU,YAR,11867
URU,YEM,11867
URU,YPR,11769
URU,KUW,12966
URU,BAH,13115
URU,QAT,13081
URU,UAE,13300
URU,OMA,13613
URU,AFG,15034
URU,TKM,14194
URU,TAJ,15114
URU,KYR,15672
URU,UZB,15218
URU,KZK,15883
URU,CHN,19132
URU,TBT,16889
URU,MON,17984
URU,TAW,18972
URU,KOR,19565
URU,PRK,19428
URU,ROK,19565
URU,JPN,18536
URU,IND,15564
URU,BHU,16658
URU,PAK,15346
URU,BNG,16547
URU,MYA,16594
URU,SRI,14523
URU,NEP,16261
URU,MAD,13740
URU,THI,16689
URU,CAM,16799
URU,LAO,17175
URU,VNM,16880
URU,DRV,17716
URU,RVN,16874
URU,MAL,15857
URU,SIN,15782
URU,BRU,16582
URU,PHI,17760
URU,INS,15200
URU,ETM,15261
URU,AUL,11883
URU,PNG,14607
URU,NEW,10162
URU,VAN,12805
URU,SOL,14039
URU,FJI,11823
URU,MSI,14714
URU,PAL,16853
URU,FSM,15360
URU,WSM,12634
UK,USA,5932
UK,CAN,5401
UK,BHM,6983
UK,CUB,7510
UK,HAI,7185
UK,DOM,7036
UK,JAM,7555
UK,TRI,7109
UK,BAR,6770
UK,DMA,6863
UK,GRN,7005
UK,SLU,6816
UK,SVG,6875
UK,AAB,6590
UK,SKN,6631
UK,BLZ,8385
UK,MEX,8956
UK,GUA,8785
UK,HON,8609
UK,SAL,8764
UK,NIC,8710
UK,COS,8744
UK,PAN,8504
UK,COL,8507
UK,VEN,7548
UK,GUY,7207
UK,SUR,7139
UK,ECU,9210
UK,PER,10163
UK,BRA,8686
UK,BOL,9940
UK,PAR,10158
UK,CHL,11618
UK,ARG,11052
UK,URU,10942
UK,IRE,496
UK,NTH,340
UK,BEL,313
UK,LUX,449
UK,FRN,365
UK,MNC,977
UK,LIE,806
UK,SWZ,761
UK,SPN,1258
UK,AND,955
UK,POR,1618
UK,GMY,927
UK,GFR,506
UK,GDR,927
UK,POL,1450
UK,AUH,1211
UK,AUS,1211
UK,HUN,1449
UK,CZE,1017
UK,CZR,1017
UK,SLO,1268
UK,ITA,1464
UK,SNM,1223
UK,MLT,2044
UK,ALB,1868
UK,SER,1702
UK,MNG,1733
UK,MAC,1906
UK,CRO,1346
UK,YUG,1702
UK,BOS,1639
UK,SLV,1192
UK,GRC,2342
UK,CYP,3188
UK,BUL,2020
UK,MLD,2122
UK,RUM,2087
UK,RUS,2512
UK,EST,1780
UK,LAT,1670
UK,LIT,1734
UK,UKR,2130
UK,BLR,1880
UK,ARM,3599
UK,GRG,3619
UK,AZE,3969
UK,FIN,1827
UK,SWD,1433
UK,NOR,1114
UK,DEN,935
UK,ICE,1923
UK,CAP,4449
UK,STP,5599
UK,GNB,4669
UK,EQG,5528
UK,GAM,4487
UK,MLI,4395
UK,SEN,4405
UK,BEN,5006
UK,MAA,3938
UK,NIR,4227
UK,CDI,5023
UK,GUI,4836
UK,BFO,4338
UK,LBR,5105
UK,SIE,4937
UK,GHA,5112
UK,TOG,5005
UK,CAO,5434
UK,NIG,5009
UK,GAB,5737
UK,CEN,5501
UK,CHA,4541
UK,CON,6289
UK,DRC,6289
UK,UGA,6432
UK,KEN,6740
UK,TAZ,7366
UK,ZAN,7368
UK,BUI,6616
UK,RWA,6449
UK,SOM,6884
UK,DJI,5850
UK,ETH,5844
UK,ERI,5254
UK,ANG,6689
UK,MZM,9138
UK,ZAM,7845
UK,ZIM,8144
UK,MAW,7831
UK,SAF,8897
UK,TRA,8897
UK,OFS,9267
UK,NAM,8288
UK,LES,9283
UK,BOT,8721
UK,SWA,9089
UK,MAG,8963
UK,COM,8057
UK,MAS,9677
UK,SEY,8109
UK,MOR,2074
UK,ALG,1678
UK,TUN,1842
UK,LIB,2366
UK,SUD,4939
UK,IRN,4422
UK,TUR,2855
UK,IRQ,4077
UK,EGY,3475
UK,SYR,3538
UK,LEB,3481
UK,JOR,3674
UK,ISR,3525
UK,SAU,4966
UK,YAR,5592
UK,YEM,5592
UK,YPR,5914
UK,KUW,4639
UK,BAH,5104
UK,QAT,5142
UK,UAE,5484
UK,OMA,5840
UK,AFG,5725
UK,TKM,4758
UK,TAJ,5417
UK,KYR,5530
UK,UZB,5247
UK,KZK,5628
UK,CHN,8225
UK,TBT,7549
UK,MON,7059
UK,TAW,9804
UK,KOR,8926
UK,PRK,8690
UK,ROK,8926
UK,JPN,9654
UK,IND,6747
UK,BHU,7666
UK,PAK,6061
UK,BNG,8051
UK,MYA,9028
UK,SRI,8753
UK,NEP,7373
UK,MAD,8528
UK,THI,9579
UK,CAM,10045
UK,LAO,9372
UK,VNM,10194
UK,DRV,9234
UK,RVN,10186
UK,MAL,10538
UK,SIN,10860
UK,BRU,11276
UK,PHI,10790
UK,INS,11683
UK,ETM,13159
UK,AUL,16956
UK,PNG,14456
UK,NEW,18817
UK,VAN,15935
UK,SOL,14839
UK,FJI,16329
UK,MSI,13227
UK,PAL,12170
UK,FSM,13228
UK,WSM,15780
IRE,USA,5445
IRE,CAN,4907
IRE,BHM,6529
IRE,CUB,7043
IRE,HAI,6759
IRE,DOM,6620
IRE,JAM,7116
IRE,TRI,6764
IRE,BAR,6424
IRE,DMA,6505
IRE,GRN,6652
IRE,SLU,6458
IRE,SVG,6520
IRE,AAB,6215
IRE,SKN,6251
IRE,BLZ,7917
IRE,MEX,8467
IRE,GUA,8317
IRE,HON,8149
IRE,SAL,8301
IRE,NIC,8257
IRE,COS,8303
IRE,PAN,8081
IRE,COL,8120
IRE,VEN,7175
IRE,GUY,6896
IRE,SUR,6851
IRE,ECU,8819
IRE,PER,9821
IRE,BRA,8536
IRE,BOL,9661
IRE,PAR,9980
IRE,CHL,11397
IRE,ARG,10905
IRE,URU,10809
IRE,UK,496
IRE,NTH,762
IRE,BEL,806
IRE,LUX,939
IRE,FRN,822
IRE,MNC,1443
IRE,LIE,1301
IRE,SWZ,1247
IRE,SPN,1457
IRE,AND,1307
IRE,POR,1677
IRE,GMY,1341
IRE,GFR,988
IRE,GDR,1341
IRE,POL,1851
IRE,AUH,1687
IRE,AUS,1687
IRE,HUN,1925
IRE,CZE,1473
IRE,CZR,1473
IRE,SLO,1742
IRE,ITA,1946
IRE,SNM,1716
IRE,MLT,2512
IRE,ALB,2364
IRE,SER,2192
IRE,MNG,2229
IRE,MAC,2400
IRE,CRO,1840
IRE,YUG,2192
IRE,BOS,2134
IRE,SLV,1686
IRE,GRC,2838
IRE,CYP,3680
IRE,BUL,2511
IRE,MLD,2570
IRE,RUM,2564
IRE,RUS,2831
IRE,EST,2015
IRE,LAT,1977
IRE,LIT,2087
IRE,UKR,2539
IRE,BLR,2249
IRE,ARM,4048
IRE,GRG,4067
IRE,AZE,4402
IRE,FIN,2038
IRE,SWD,1639
IRE,NOR,1246
IRE,DEN,1245
IRE,ICE,1502
IRE,CAP,4395
IRE,STP,5912
IRE,GNB,4736
IRE,EQG,5867
IRE,GAM,4536
IRE,MLI,4555
IRE,SEN,4441
IRE,BEN,5285
IRE,MAA,3980
IRE,NIR,4507
IRE,CDI,5218
IRE,GUI,4932
IRE,BFO,4576
IRE,LBR,5239
IRE,SIE,5039
IRE,GHA,5365
IRE,TOG,5269
IRE,CAO,5787
IRE,NIG,5295
IRE,GAB,6070
IRE,CEN,5905
IRE,CHA,4936
IRE,CON,6658
IRE,DRC,6658
IRE,UGA,6894
IRE,KEN,7213
IRE,TAZ,7838
IRE,ZAN,7840
IRE,BUI,7061
IRE,RWA,6901
IRE,SOM,7375
IRE,DJI,6344
IRE,ETH,6332
IRE,ERI,5747
IRE,ANG,7037
IRE,MZM,9559
IRE,ZAM,8267
IRE,ZIM,8574
IRE,MAW,8277
IRE,SAF,9303
IRE,TRA,9303
IRE,OFS,9656
IRE,NAM,8643
IRE,LES,9677
IRE,BOT,9117
IRE,SWA,9504
IRE,MAG,9440
IRE,COM,8533
IRE,MAS,10167
IRE,SEY,8605
IRE,MOR,2215
IRE,ALG,2019
IRE,TUN,2279
IRE,LIB,2811
IRE,SUD,5422
IRE,IRN,4872
IRE,TUR,3338
IRE,IRQ,4554
IRE,EGY,3971
IRE,SYR,4029
IRE,LEB,3973
IRE,JOR,4167
IRE,ISR,4019
IRE,SAU,5456
IRE,YAR,6088
IRE,YEM,6088
IRE,YPR,6410
IRE,KUW,5117
IRE,BAH,5582
IRE,QAT,5621
IRE,UAE,5959
IRE,OMA,6309
IRE,AFG,6122
IRE,TKM,5178
IRE,TAJ,5794
IRE,KYR,5862
IRE,UZB,5606
IRE,KZK,5944
IRE,CHN,8379
IRE,TBT,7877
IRE,MON,7219
IRE,TAW,9988
IRE,KOR,9028
IRE,PRK,8790
IRE,ROK,9028
IRE,JPN,9682
IRE,IND,7140
IRE,BHU,8012
IRE,PAK,6448
IRE,BNG,8409
IRE,MYA,9387
IRE,SRI,9204
IRE,NEP,7737
IRE,MAD,9001
IRE,THI,9930
IRE,CAM,10382
IRE,LAO,9697
IRE,VNM,10522
IRE,DRV,9526
IRE,RVN,10515
IRE,MAL,10918
IRE,SIN,11237
IRE,BRU,11584
IRE,PHI,11022
IRE,INS,12070
IRE,ETM,13454
IRE,AUL,17231
IRE,PNG,14573
IRE,NEW,18666
IRE,VAN,15846
IRE,SOL,14826
IRE,FJI,16089
IRE,MSI,13088
IRE,PAL,12332
IRE,FSM,13184
IRE,WSM,15617
NTH,USA,6198
NTH,CAN,5645
NTH,BHM,7289
NTH,CUB,7805
NTH,HAI,7507
NTH,DOM,7362
NTH,JAM,7871
NTH,TRI,7449
NTH,BAR,7110
NTH,DMA,7201
NTH,GRN,7344
NTH,SLU,7154
NTH,SVG,7214
NTH,AAB,6926
NTH,SKN,6966
NTH,BLZ,8679
NTH,MEX,9217
NTH,GUA,9079
NTH,HON,8911
NTH,SAL,9063
NTH,NIC,9017
NTH,COS,9059
NTH,PAN,8827
NTH,COL,8842
NTH,VEN,7884
NTH,GUY,7547
NTH,SUR,7478
NTH,ECU,9543
NTH,PER,10503
NTH,BRA,9001
NTH,BOL,10278
NTH,PAR,10479
NTH,CHL,11947
NTH,ARG,11364
NTH,URU,11249
NTH,UK,340
NTH,IRE,762
NTH,BEL,219
NTH,LUX,270
NTH,FRN,474
NTH,MNC,942
NTH,LIE,638
NTH,SWZ,684
NTH,SPN,1482
NTH,AND,1088
NTH,POR,1895
NTH,GMY,592
NTH,GFR,273
NTH,GDR,592
NTH,POL,1114
NTH,AUH,933
NTH,AUS,933
NTH,HUN,1170
NTH,CZE,711
NTH,CZR,711
NTH,SLO,985
NTH,ITA,1354
NTH,SNM,1077
NTH,MLT,1958
NTH,ALB,1665
NTH,SER,1456
NTH,MNG,1519
NTH,MAC,1677
NTH,CRO,1125
NTH,YUG,1456
NTH,BOS,1424
NTH,SLV,971
NTH,GRC,2137
NTH,CYP,2942
NTH,BUL,1777
NTH,MLD,1810
NTH,RUM,1808
NTH,RUS,2173
NTH,EST,1462
NTH,LAT,1334
NTH,LIT,1394
NTH,UKR,1797
NTH,BLR,1540
NTH,ARM,3288
NTH,GRG,3307
NTH,AZE,3648
NTH,FIN,1517
NTH,SWD,1132
NTH,NOR,866
NTH,DEN,608
NTH,ICE,2024
NTH,CAP,4741
NTH,STP,5675
NTH,GNB,4910
NTH,EQG,5581
NTH,GAM,4738
NTH,MLI,4588
NTH,SEN,4663
NTH,BEN,5114
NTH,MAA,4196
NTH,NIR,4339
NTH,CDI,5191
NTH,GUI,5063
NTH,BFO,4481
NTH,LBR,5310
NTH,SIE,5160
NTH,GHA,5239
NTH,TOG,5125
NTH,CAO,5475
NTH,NIG,5112
NTH,GAB,5795
NTH,CEN,5485
NTH,CHA,4540
NTH,CON,6309
NTH,DRC,6309
NTH,UGA,6329
NTH,KEN,6613
NTH,TAZ,7237
NTH,ZAN,7240
NTH,BUI,6540
NTH,RWA,6363
NTH,SOM,6702
NTH,DJI,5652
NTH,ETH,5678
NTH,ERI,5066
NTH,ANG,6728
NTH,MZM,9089
NTH,ZAM,7797
NTH,ZIM,8087
NTH,MAW,7750
NTH,SAF,8868
NTH,TRA,8868
NTH,OFS,9255
NTH,NAM,8316
NTH,LES,9266
NTH,BOT,8702
NTH,SWA,9046
NTH,MAG,8822
NTH,COM,7919
NTH,MAS,9497
NTH,SEY,7898
NTH,MOR,2304
NTH,ALG,1778
NTH,TUN,1820
NTH,LIB,2318
NTH,SUD,4790
NTH,IRN,4112
NTH,TUR,2584
NTH,IRQ,3794
NTH,EGY,3270
NTH,SYR,3288
NTH,LEB,3235
NTH,JOR,3435
NTH,ISR,3288
NTH,SAU,4709
NTH,YAR,5377
NTH,YEM,5377
NTH,YPR,5705
NTH,KUW,4359
NTH,BAH,4823
NTH,QAT,4863
NTH,UAE,5199
NTH,OMA,5547
NTH,AFG,5392
NTH,TKM,4431
NTH,TAJ,5080
NTH,KYR,5190
NTH,UZB,4908
NTH,KZK,5288
NTH,CHN,7912
NTH,TBT,7209
NTH,MON,6746
NTH,TAW,9482
NTH,KOR,8629
NTH,PRK,8393
NTH,ROK,8629
NTH,JPN,9383
NTH,IND,6413
NTH,BHU,7326
NTH,PAK,5726
NTH,BNG,7712
NTH,MYA,8689
NTH,SRI,8444
NTH,NEP,7034
NTH,MAD,8240
NTH,THI,9240
NTH,CAM,9705
NTH,LAO,9032
NTH,VNM,9854
NTH,DRV,8895
NTH,RVN,9846
NTH,MAL,10203
NTH,SIN,10524
NTH,BRU,10936
NTH,PHI,10457
NTH,INS,11349
NTH,ETM,12819
NTH,AUL,16616
NTH,PNG,14146
NTH,NEW,18564
NTH,VAN,15700
NTH,SOL,14574
NTH,FJI,16182
NTH,MSI,13032
NTH,PAL,11851
NTH,FSM,12982
NTH,WSM,15587
BEL,USA,6246
BEL,CAN,5712
BEL,BHM,7289
BEL,CUB,7819
BEL,HAI,7480
BEL,DOM,7328
BEL,JAM,7855
BEL,TRI,7369
BEL,BAR,7030
BEL,DMA,7128
BEL,GRN,7268
BEL,SLU,7081
BEL,SVG,7140
BEL,AAB,6864
BEL,SKN,6907
BEL,BLZ,8695
BEL,MEX,9269
BEL,GUA,9095
BEL,HON,8916
BEL,SAL,9073
BEL,NIC,9015
BEL,COS,9044
BEL,PAN,8797
BEL,COL,8785
BEL,VEN,7819
BEL,GUY,7449
BEL,SUR,7369
BEL,ECU,9488
BEL,PER,10416
BEL,BRA,8837
BEL,BOL,10160
BEL,PAR,10322
BEL,CHL,11802
BEL,ARG,11195
BEL,URU,11077
BEL,UK,313
BEL,IRE,806
BEL,NTH,219
BEL,LUX,136
BEL,FRN,266
BEL,MNC,743
BEL,LIE,501
BEL,SWZ,495
BEL,SPN,1278
BEL,AND,870
BEL,POR,1711
BEL,GMY,676
BEL,GFR,202
BEL,GDR,676
BEL,POL,1193
BEL,AUH,903
BEL,AUS,903
BEL,HUN,1139
BEL,CZE,725
BEL,CZR,725
BEL,SLO,961
BEL,ITA,1190
BEL,SNM,931
BEL,MLT,1786
BEL,ALB,1561
BEL,SER,1389
BEL,MNG,1424
BEL,MAC,1594
BEL,CRO,1034
BEL,YUG,1389
BEL,BOS,1329
BEL,SLV,880
BEL,GRC,2036
BEL,CYP,2876
BEL,BUL,1707
BEL,MLD,1826
BEL,RUM,1776
BEL,RUS,2294
BEL,EST,1635
BEL,LAT,1476
BEL,LIT,1505
BEL,UKR,1857
BEL,BLR,1638
BEL,ARM,3299
BEL,GRG,3320
BEL,AZE,3677
BEL,FIN,1697
BEL,SWD,1323
BEL,NOR,1081
BEL,DEN,781
BEL,ICE,2177
BEL,CAP,4560
BEL,STP,5460
BEL,GNB,4705
BEL,EQG,5370
BEL,GAM,4536
BEL,MLI,4372
BEL,SEN,4463
BEL,BEN,4896
BEL,MAA,3996
BEL,NIR,4120
BEL,CDI,4972
BEL,GUI,4853
BEL,BFO,4262
BEL,LBR,5095
BEL,SIE,4949
BEL,GHA,5020
BEL,TOG,4906
BEL,CAO,5266
BEL,NIG,4894
BEL,GAB,5583
BEL,CEN,5291
BEL,CHA,4341
BEL,CON,6106
BEL,DRC,6106
BEL,UGA,6170
BEL,KEN,6465
BEL,TAZ,7091
BEL,ZAN,7093
BEL,BUI,6368
BEL,RWA,6196
BEL,SOM,6587
BEL,DJI,5547
BEL,ETH,5552
BEL,ERI,4954
BEL,ANG,6520
BEL,MZM,8908
BEL,ZAM,7615
BEL,ZIM,7908
BEL,MAW,7581
BEL,SAF,8680
BEL,TRA,8680
BEL,OFS,9062
BEL,NAM,8111
BEL,LES,9074
BEL,BOT,8511
BEL,SWA,8863
BEL,MAG,8683
BEL,COM,7778
BEL,MAS,9381
BEL,SEY,7804
BEL,MOR,2098
BEL,ALG,1559
BEL,TUN,1623
BEL,LIB,2132
BEL,SUD,4654
BEL,IRN,4120
BEL,TUR,2542
BEL,IRQ,3766
BEL,EGY,3170
BEL,SYR,3225
BEL,LEB,3169
BEL,JOR,3362
BEL,ISR,3214
BEL,SAU,4653
BEL,YAR,5285
BEL,YEM,5285
BEL,YPR,5608
BEL,KUW,4327
BEL,BAH,4792
BEL,QAT,4830
BEL,UAE,5173
BEL,OMA,5531
BEL,AFG,5448
BEL,TKM,4470
BEL,TAJ,5151
BEL,KYR,5289
BEL,UZB,4992
BEL,KZK,5396
BEL,CHN,8080
BEL,TBT,7306
BEL,MON,6914
BEL,TAW,9637
BEL,KOR,8811
BEL,PRK,8575
BEL,ROK,8811
BEL,JPN,9580
BEL,IND,6472
BEL,BHU,7414
BEL,PAK,5789
BEL,BNG,7791
BEL,MYA,8766
BEL,SRI,8450
BEL,NEP,7111
BEL,MAD,8217
BEL,THI,9322
BEL,CAM,9795
BEL,LAO,9129
BEL,VNM,9947
BEL,DRV,9008
BEL,RVN,9939
